ID,PERID,uno,sero,tot,alt_out,Lin,Min,Hin,gend,gend1,nchlt11,Esc,Ho,Soc,AR,Eo
742,7109,1,0,1080,840,0,1,0,2,0,2,0,240,0,0,0
734,7049,1,0,1080,780,1,0,0,1,1,0,0,0,300,0,0
1209,11608,1,0,1080,1038,0,0,1,1,1,0,0,0,0,42,0
420,4102,1,0,1080,1003,1,0,0,2,0,0,77,0,0,0,0
1016,9896,1,0,1080,637,0,1,0,1,1,0,0,264,179,0,0
418,4093,1,0,1080,299,0,0,1,2,0,0,0,781,0,0,0
1973,18280,1,0,1080,757,1,0,0,2,0,2,0,303,20,0,0
48,425,1,0,1080,318,0,1,0,2,0,1,0,762,0,0,0
1515,14307,1,0,1080,1079,0,1,0,2,0,0,1,0,0,0,0
1039,10172,1,0,1080,1078,0,0,1,2,0,3,2,0,0,0,0
551,5369,1,0,1080,1076,1,0,0,2,0,2,0,0,0,0,4
1504,14198,1,0,1080,437,1,0,0,1,1,0,0,0,600,0,43
811,7702,1,0,1080,1028,0,1,0,2,0,0,0,3,49,0,0
1190,11458,1,0,1080,1078,0,0,1,1,1,0,0,0,0,2,0
866,8345,1,0,1080,593,0,1,0,2,0,0,0,487,0,0,0
51,436,1,0,1080,1077,1,0,0,2,0,0,0,3,0,0,0
1634,15214,1,0,1080,923,0,1,0,1,1,0,0,108,0,0,49
1577,14765,1,0,1080,1076,1,0,0,2,0,1,4,0,0,0,0
1792,16537,1,0,1080,730,1,0,0,2,0,1,5,298,0,47,0
185,1560,1,0,1080,1077,0,0,1,2,0,0,3,0,0,0,0
382,3668,1,0,1080,948,1,0,0,1,1,0,0,0,45,0,87
687,6676,1,0,1080,1075,1,0,0,2,0,0,0,0,0,5,0
1665,15385,1,0,1080,878,0,1,0,2,0,0,0,0,202,0,0
1102,10779,1,0,1080,1022,0,1,0,2,0,0,0,58,0,0,0
1965,18207,1,0,1080,1075,0,0,1,2,0,1,0,5,0,0,0
1832,16962,1,0,1080,954,0,0,1,1,1,0,0,126,0,0,0
1349,12830,1,0,1080,1078,1,0,0,1,1,0,0,0,2,0,0
455,4455,1,0,1080,1078,0,1,0,1,1,0,0,2,0,0,0
604,5700,1,0,1080,957,1,0,0,1,1,0,0,0,58,65,0
