ID,PERID,uno,sero,tot,alt_out,Lin,Min,Hin,gend,gend1,nchlt11,Esc,Ho,Soc,AR,Eo
1834,16976,1,0,1080,960,1,0,0,2,0,0,0,101,0,0,19
164,1437,1,0,1080,898,0,1,0,1,1,0,0,115,0,67,0
317,2966,1,0,1080,1029,0,0,1,2,0,0,0,0,0,0,51
1724,15942,1,0,1080,948,1,0,0,2,0,0,0,132,0,0,0
1672,15436,1,0,1080,292,1,0,0,1,1,0,0,0,788,0,0
1233,11862,1,0,1080,445,0,1,0,2,0,0,0,635,0,0,0
607,5721,1,0,1080,1079,1,0,0,1,1,0,0,0,0,0,1
703,6814,1,0,1080,1077,1,0,0,2,0,0,0,0,0,3,0
1074,10564,1,0,1080,968,1,0,0,2,0,0,0,112,0,0,0
1709,15798,1,0,1080,1068,1,0,0,2,0,0,0,0,12,0,0
1516,14311,1,0,1080,784,0,1,0,1,1,0,0,289,7,0,0
1332,12717,1,0,1080,941,1,0,0,1,1,0,10,0,129,0,0
1582,14788,1,0,1080,1026,1,0,0,1,1,0,0,0,0,0,54
373,3518,1,0,1080,974,1,0,0,1,1,0,0,104,0,0,2
1193,11466,1,0,1080,262,0,0,1,2,0,1,0,818,0,0,0
281,2559,1,0,1080,843,0,0,1,2,0,0,0,237,0,0,0
1078,10594,1,0,1080,819,1,0,0,2,0,0,0,261,0,0,0
690,6682,1,0,1080,936,0,1,0,1,1,0,39,0,103,0,2
1586,14821,1,0,1080,809,1,0,0,2,0,2,0,271,0,0,0
1352,12842,1,0,1080,515,0,0,1,2,0,0,0,29,19,517,0
1757,16197,1,0,1080,1076,0,1,0,2,0,0,0,0,4,0,0
1335,12732,1,0,1080,1079,0,0,1,1,1,0,0,1,0,0,0
586,5563,1,0,1080,886,1,0,0,2,0,0,0,180,0,0,14
68,654,1,0,1080,363,1,0,0,1,1,0,0,717,0,0,0
704,6822,1,0,1080,640,0,0,1,1,1,0,0,211,229,0,0
1923,17826,1,0,1080,669,0,1,0,2,0,0,199,212,0,0,0
784,7480,1,0,1080,736,1,0,0,2,0,1,0,340,0,4,0
1906,17704,1,0,1080,835,1,0,0,2,0,0,0,245,0,0,0
768,7362,1,0,1080,104,0,1,0,2,0,1,0,976,0,0,0
817,7763,1,0,1080,1079,1,0,0,2,0,1,0,0,0,0,1
1175,11335,1,0,1080,1076,0,1,0,2,0,0,0,4,0,0,0
486,4790,1,0,1080,908,1,0,0,1,1,0,0,4,0,0,168
1036,10138,1,0,1080,750,0,1,0,1,1,3,0,330,0,0,0
1220,11681,1,0,1080,881,0,1,0,2,0,1,0,141,1,57,0
1948,18079,1,0,1080,303,0,0,1,2,0,3,0,777,0,0,0
64,609,1,0,1080,533,1,0,0,2,0,0,0,172,375,0,0
642,6160,1,0,1080,964,1,0,0,1,1,0,0,0,0,0,116
1503,14188,1,0,1080,1078,1,0,0,1,1,0,0,2,0,0,0
1712,15826,1,0,1080,797,1,0,0,2,0,0,0,61,142,0,80
466,4578,1,0,1080,394,0,1,0,2,0,5,0,686,0,0,0
1342,12759,1,0,1080,1076,1,0,0,1,1,0,0,4,0,0,0
1736,16021,1,0,1080,883,1,0,0,1,1,0,0,161,0,0,36
1154,11180,1,0,1080,540,1,0,0,1,1,0,0,0,513,27,0
1447,13717,1,0,1080,1078,1,0,0,1,1,0,2,0,0,0,0
864,8273,1,0,1080,603,0,1,0,2,0,0,22,455,0,0,0
1446,13710,1,0,1080,770,1,0,0,2,0,2,91,219,0,0,0
398,3921,1,0,1080,484,1,0,0,2,0,0,0,135,461,0,0
1794,16548,1,0,1080,920,1,0,0,2,0,0,0,160,0,0,0
610,5755,1,0,1080,871,1,0,0,1,1,0,0,0,209,0,0
1355,12884,1,0,1080,1077,0,1,0,2,0,0,0,0,3,0,0
347,3342,1,0,1080,1079,1,0,0,2,0,0,0,0,0,1,0
628,5910,1,0,1080,678,1,0,0,2,0,0,0,402,0,0,0
391,3790,1,0,1080,1076,1,0,0,1,1,0,4,0,0,0,0
630,5915,1,0,1080,1064,0,0,1,1,1,0,12,0,0,4,0
578,5501,1,0,1080,819,1,0,0,1,1,0,0,120,141,0,0
1100,10751,1,0,1080,891,1,0,0,2,0,0,0,0,189,0,0
1475,13976,1,0,1080,1079,0,0,1,2,0,0,0,0,0,0,1
602,5692,1,0,1080,1076,1,0,0,2,0,0,0,0,0,0,4
1454,13767,1,0,1080,1069,0,0,1,1,1,0,0,11,0,0,0
242,2171,1,0,1080,834,0,0,1,2,0,1,0,246,0,0,0
598,5634,1,0,1080,539,0,0,1,2,0,0,0,541,0,0,0
1189,11443,1,0,1080,855,0,1,0,1,1,0,0,0,225,0,0
1773,16355,1,0,1080,686,0,1,0,2,0,0,0,376,0,0,18
1403,13286,1,0,1080,1077,0,1,0,1,1,0,3,0,0,0,0
439,4309,1,0,1080,1077,0,1,0,1,1,0,0,0,0,0,3
1717,15894,1,0,1080,1075,0,1,0,1,1,0,5,0,0,0,0
494,4855,1,0,1080,985,1,0,0,2,0,0,0,88,0,7,0
1407,13323,1,0,1080,1079,1,0,0,2,0,0,0,0,0,1,0
932,9054,1,0,1080,805,1,0,0,2,0,1,0,68,151,0,56
785,7499,1,0,1080,988,0,1,0,2,0,0,0,0,0,0,92
321,3016,1,0,1080,695,0,0,1,2,0,0,3,193,189,0,0
1840,17065,1,0,1080,475,0,1,0,2,0,0,0,0,604,1,0
1278,12275,1,0,1080,979,1,0,0,1,1,0,0,67,34,0,0
182,1556,1,0,1080,1079,1,0,0,2,0,0,1,0,0,0,0
1754,16179,1,0,1080,966,1,0,0,2,0,0,0,30,84,0,0
1467,13910,1,0,1080,1079,0,0,1,2,0,0,0,0,1,0,0
