ID,uno,sero,rural,urban,b51q11,Accomod,FandB,Transp,Shp,Recr,fr_fem,hinc20k,stlt3,st410,stgt10,bud
7353,1,0,0,1,5,16000,4300,5400,3000,0,0.5,1,0,1,0,100000
5948,1,0,0,1,3,1200,1900,4000,200,0,0.5,1,1,0,0,100000
11981,1,0,0,1,1,2200,3700,1400,1400,0,0.6,1,1,0,0,100000
10690,1,0,0,1,20,0,1800,8050,4900,100,0,0,0,0,1,100000
9440,1,0,0,1,6,0,100,120,400,0,0,0,0,1,0,100000
10095,1,0,0,1,15,0,500,600,2700,0,0.25,0,0,0,1,100000
9103,1,0,0,1,3,3000,600,1830,300,0,0.333333333,1,1,0,0,100000
13891,1,0,0,1,7,200,500,126,1300,0,1,0,0,1,0,100000
5713,1,0,0,1,8,0,100,8800,800,0,0.666666667,0,0,1,0,100000
15155,1,0,0,1,2,100,200,1200,700,0,0.5,0,1,0,0,100000
10573,1,0,0,1,15,0,2600,180,300,0,0.5,0,0,0,1,100000
3370,1,0,1,0,5,0,1200,2300,2200,0,1,0,0,1,0,100000
4285,1,0,1,0,15,0,500,1800,0,0,0.5,0,0,0,1,100000
15835,1,0,0,1,2,0,100,600,0,0,0,0,1,0,0,100000
653,1,0,1,0,5,0,500,2000,600,0,0.333333333,0,0,1,0,100000
1103,1,0,1,0,3,0,300,1000,600,0,0,0,1,0,0,100000
6906,1,0,0,1,1,3700,2100,2300,4400,100,0,0,1,0,0,100000
3366,1,0,1,0,2,0,800,300,1200,0,0.6,0,1,0,0,100000
14318,1,0,0,1,7,300,1400,96,1200,100,0.666666667,0,0,1,0,100000
4597,1,0,1,0,25,0,300,72,2300,0,0,0,0,0,1,100000
444,1,0,1,0,3,400,1000,400,700,0,0,0,1,0,0,100000
528,1,0,1,0,4,1300,1900,120,1600,300,1,0,0,1,0,100000
9372,1,0,0,1,15,0,700,240,1300,1200,0.5,0,0,0,1,100000
11215,1,0,0,1,2,0,100,3100,0,0,0.6,1,1,0,0,100000
9830,1,0,0,1,4,5700,1200,120,2500,0,0,0,0,1,0,100000
13743,1,0,0,1,5,0,100,17000,0,0,0.25,0,0,1,0,100000
